matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,edge_index,start_id,end_id,edge_count_before,edge_count_after,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,evaluated_moves,chain_so_far
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,125,first,greedy,る,4303,63,19,6,5,,,る,す,す,1.4e-05,False,-23178.0,,,,,10,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,126,second,alpha_beta,す,1355,19,63,56,55,,,す,る,る,0.036646,False,6109.0,4,4,True,272,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,127,first,greedy,る,4303,63,19,5,4,,,る,す,す,1.4e-05,False,-23155.0,,,,,10,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,128,second,alpha_beta,す,1355,19,63,55,54,,,す,る,る,0.036856,False,6124.0,4,4,True,272,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,129,first,greedy,る,4303,63,19,4,3,,,る,す,す,1.5e-05,False,-23132.0,,,,,10,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,130,second,alpha_beta,す,1355,19,63,54,53,,,す,る,る,0.036804,False,6139.0,4,4,True,272,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,131,first,greedy,る,4303,63,19,3,2,,,る,す,す,1.5e-05,False,-23109.0,,,,,10,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,132,second,alpha_beta,す,1355,19,63,53,52,,,す,る,る,0.036706,False,6154.0,4,4,True,272,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,133,first,greedy,る,4303,63,19,2,1,,,る,す,す,2.3e-05,False,-23086.0,,,,,10,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,134,second,alpha_beta,す,1355,19,63,52,51,,,す,る,る,0.038593,False,6177.0,4,4,True,290,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,135,first,greedy,る,4303,63,19,1,0,,,る,す,す,1.5e-05,False,-23063.0,,,,,10,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,136,second,alpha_beta,す,1355,19,63,51,50,,,す,る,る,0.035218,False,8496.0,4,4,True,275,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,137,first,greedy,る,4328,63,44,3,2,,,る,ふ,ふ,1.3e-05,False,-31039.5,,,,,9,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→ふ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,138,second,alpha_beta,ふ,3055,44,63,40,39,,,ふ,る,る,0.033967,False,8519.0,4,4,True,263,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→ふ -> ふ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,139,first,greedy,る,4328,63,44,2,1,,,る,ふ,ふ,1.3e-05,False,-31016.5,,,,,9,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な -> な→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→る -> る→う -> う→む -> む→ず -> ず→ず -> ず→ぷ -> ぷ→る -> る→う -> う→ず -> ず→む -> む→る -> る→う -> う→る -> る→う -> う→ぞ -> ぞ→ぴ -> ぴ→る -> る→う -> う→む -> む→ぽ -> ぽ→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→く -> く→る -> る→り -> り→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→と -> と→る -> る→た -> た→る -> る→た -> た→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→す -> す→る -> る→ふ -> ふ→る -> る→ふ
